artist,song,time,bpm,year,genre,details,album,track num
Shania Twain,"Black Eyes, Blue Tears",3:39,118.8,1997,Country,../track/SHANIATW_COO/SHANIATW_COO-13.html,Come On Over,13
Alana Davis,Blame It on Me,5:11,89.4,1997,Rock/Pop,../track/ALNADAVS_BIM/ALNADAVS_BIM-12.html,Blame It on Me,12
Collective Soul,Blame,3:43,98.5,1997,Rock,../track/HOTTROCK_021/HOTTROCK_021-06.html,Hott Rocks 021,6
Soundgarden,Bleed Together,3:49,94.8,1997,Rock,../track/HOTTROCK_022/HOTTROCK_022-05.html,Hott Rocks 022,5
The Chemical Brothers,Block Rockin' Beats,3:24,109.4,1997,Rock,../track/BIGSHINY_002/BIGSHINY_002-13.html,Big Shiny Tunes 2,13
The Chemical Brothers,Block Rockin' Beats,5:14,109.4,1997,Electronica,../track/BIGSHN90_02A/BIGSHN90_02A-16.html,Big Shiny 90s 2 - Disc A,16
The Chemical Brothers,Block Rockin' Beats,5:13,109.4,1997,Electronica,../track/HOTTRACK_043/HOTTRACK_043-04.html,Hott Tracks 043,4
Michael Jackson,Blood on the Dancefloor,4:10,109.0,1997,Pop,../track/HOTTRACK_043/HOTTRACK_043-02.html,Hott Tracks 043,2
BT&Tori Amos,Blue Skies [Deep Dish Blue Phunk Mix],8:53,127.0,1997,Electronica,../track/HOTTRACK_037/HOTTRACK_037-08.html,Hott Tracks 037,8
Frank Sinatra,Blue Skies,2:30,110.7,1997,Jazz,../track/FRANKSIN_G1A/FRANKSIN_G1A-08.html,Portrait of Sinatra - Disc A,8
Matt Murphy,The Blues Don't Bother Me,3:36,85.1,1997,Soundtrack/Blues,../track/BLUESBRS_ST2/BLUESBRS_ST2-02.html,The Blues Brothers 2000,2
Zuckerbaby,Blue,4:00,88.6,1997,Rock,../track/ZUKRBABY_STD/ZUKRBABY_STD-11.html,Zuckerbaby,11
Frank Sinatra,Body And Soul,3:18,112.8,1997,Easy,../track/FRANKSIN_G1B/FRANKSIN_G1B-08.html,Portrait of Sinatra - Disc B,8
Deep Blue&Rhodsey,Bonus Mix,38:49,86.8,1997,Electronica,../track/TDRUMBAS_02C/TDRUMBAS_02C-01.html,This Is... Drum & Bass 2 - Disc C,1
Wynton Marsalis,Boogie Woogie Stomp,4:09,96.8,1997,Jazz,../track/WYNTMARS_JSJ/WYNTMARS_JSJ-08.html,Jump Start and Jazz - Two Ballets by Wynton Marsalis,8
Sammy Hagar,Both Sides Now,4:22,87.1,1997,Rock,../track/HOTTROCK_023/HOTTROCK_023-04.html,Hott Rocks 023,4
The Cunninghams,Bottle Rockets,3:03,129.3,1997,Rock,../track/HOTTROCK_018/HOTTROCK_018-07.html,Hott Rocks 018,7
Peggy Lee,The Boy From Ipanema,2:23,131.3,1997,Slow,../track/ULTLOUNG_015/ULTLOUNG_015-07.html,"Ultra Lounge 15: Wild, Cool & Swingin' Too!",7
Tony! Toni! Tone!,Boys And Girls [Remix],4:36,104.3,1997,Pop,../track/HOTTRACK_056/HOTTRACK_056-08.html,Hott Tracks 056,8
Melanie,Brand New Key,2:23,83.9,1997,Soundtrack/Pop,../track/BOOGNITE_ST1/BOOGNITE_ST1-04.html,Boogie Nights - Music From The Original Motion Picture,4
Savage Garden,Break Me Shake Me,3:23,110.2,1997,Rock/Pop,../track/SAVGARDN_STD/SAVGARDN_STD-08.html,Savage Garden,8
Unique II,Break My Stride,3:14,110.0,1997,Electronica/Pop,../track/HOTTRACK_045/HOTTRACK_045-04.html,Hott Tracks 045,4
Unique II,Break My Stride,3:17,110.0,1997,Electronica/Pop,../track/POBO1997_004/POBO1997_004-17.html,Promo Only - Best of 1997 - Disc 4,17
